annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
COG0021	1.426700	1.436374	1.414124	1.427505	1.451172	1.469545	1.420706	1.448253	1.441655	1.428839	1.361516	1.347216	1.392857	0.990738	1.388711	1.412749	1.413414	1.280512	1.229085	1.203912	1.174319	0.996642	0.878821	1.444676	1.435805	1.384238	1.350310	1.371337	1.366473	1.073583	0.979189	0.957574	1.110138	1.408146	1.400978	1.383452	1.402915	1.390584	1.323937	1.323785	1.367211	0.941082	0.882731	1.429678	1.396120	1.283400	1.289511	1.053040	1.421233	1.365076
COG0022	0.558002	0.582501	0.585284	0.590944	0.633786	0.581504	0.598330	0.574585	0.577355	0.600950	0.552697	0.571974	0.514406	0.455139	0.554184	0.644800	0.528626	0.760990	0.731421	0.715405	0.585910	0.521885	0.483598	0.547100	0.536598	0.507807	0.638443	0.637071	0.643308	0.550592	0.530845	0.530577	0.588605	0.520812	0.545353	0.521900	0.504225	0.587535	0.602550	0.652551	0.569394	0.422507	0.424666	0.497044	0.458626	0.615627	0.582370	0.564129	0.527183	0.617860
COG0023	0.108619	0.098600	0.109967	0.121639	0.123147	0.104792	0.128313	0.115175	0.136299	0.128059	0.136508	0.134675	0.095822	0.172890	0.094523	0.143820	0.105525	0.225991	0.223571	0.217577	0.158462	0.159863	0.144364	0.102848	0.094137	0.104944	0.149731	0.154105	0.168812	0.159943	0.159994	0.176549	0.183410	0.101959	0.106377	0.097500	0.090077	0.152449	0.172552	0.170728	0.129528	0.207883	0.200019	0.097284	0.088578	0.176881	0.167269	0.163339	0.107031	0.150885
COG0024	0.700769	0.695182	0.674707	0.671174	0.709203	0.698673	0.693460	0.689834	0.676008	0.686804	0.687038	0.695629	0.708712	0.551551	0.675757	0.683468	0.704025	0.701779	0.733862	0.638647	0.659484	0.613395	0.616762	0.713380	0.702584	0.688850	0.659084	0.673637	0.708829	0.654973	0.641889	0.619642	0.695453	0.669750	0.679789	0.693156	0.675842	0.683012	0.698585	0.675845	0.672145	0.710069	0.718646	0.695105	0.693047	0.671714	0.674611	0.625922	0.702139	0.695439
COG0025	0.183681	0.203624	0.209054	0.195198	0.251947	0.158018	0.194729	0.176149	0.202173	0.197229	0.305293	0.246367	0.155093	0.860620	0.136118	0.192559	0.220558	0.722752	0.960975	0.917449	0.562268	0.737236	0.993497	0.149131	0.124905	0.125751	0.301808	0.344748	0.326324	0.674147	0.715655	0.741954	0.548445	0.126118	0.132237	0.116233	0.105687	0.340014	0.333475	0.383361	0.260036	0.704496	0.770235	0.118630	0.103008	0.483317	0.415082	0.698469	0.129243	0.324894
COG0026	0.623768	0.646328	0.632167	0.636775	0.623738	0.636610	0.680533	0.633240	0.641577	0.670234	0.644695	0.660235	0.627721	0.620407	0.653287	0.663269	0.605707	0.569675	0.558907	0.541490	0.596566	0.630310	0.587555	0.599403	0.622134	0.648760	0.664708	0.643109	0.631230	0.612158	0.605297	0.581230	0.611154	0.680605	0.654913	0.672579	0.672367	0.628226	0.634459	0.594481	0.616896	0.434849	0.478803	0.692283	0.695903	0.611946	0.657782	0.597236	0.653321	0.646473
COG0027	0.159570	0.144080	0.200709	0.199596	0.199186	0.161482	0.200772	0.162155	0.217660	0.203320	0.219919	0.202658	0.147727	0.247310	0.161791	0.261566	0.166458	0.279927	0.284655	0.365927	0.206149	0.207109	0.293670	0.158827	0.156592	0.143924	0.279838	0.245209	0.248071	0.214117	0.173526	0.264852	0.219015	0.152573	0.163398	0.140409	0.133783	0.237356	0.249803	0.228988	0.187418	0.121169	0.117590	0.143174	0.129815	0.244855	0.207117	0.225895	0.151050	0.229308
COG0028	3.455234	3.410504	3.488150	3.528333	3.562680	3.518347	3.537467	3.482069	3.473983	3.553102	2.992069	3.166707	3.288567	1.529114	3.361578	3.489553	3.346734	2.269626	2.217547	2.214779	2.227077	1.839539	1.419850	3.517329	3.456039	3.297458	3.125621	3.034498	3.013363	2.018645	1.919615	1.757833	2.315006	3.184082	3.238537	3.202950	3.212278	3.116193	3.034570	2.928849	3.095088	1.559703	1.618083	3.296153	3.232434	2.688672	2.751818	1.992431	3.325178	3.044320
COG0029	0.326572	0.315823	0.347612	0.375616	0.383258	0.336450	0.395177	0.348063	0.419376	0.402729	0.359925	0.363151	0.290641	0.304001	0.313705	0.426124	0.340023	0.424679	0.451316	0.442344	0.350961	0.330951	0.247096	0.340177	0.331672	0.327855	0.376474	0.371644	0.373779	0.334075	0.310715	0.332524	0.395156	0.311829	0.319476	0.311196	0.296749	0.354858	0.384553	0.388910	0.319303	0.259831	0.254520	0.311936	0.305563	0.381498	0.347301	0.334434	0.335870	0.372757
COG0030	0.627226	0.654111	0.640544	0.613676	0.596366	0.633523	0.614550	0.612858	0.609791	0.607540	0.688820	0.686037	0.620048	1.012188	0.624368	0.658602	0.639853	0.591161	0.605449	0.585510	0.735252	0.932196	1.312132	0.602357	0.604785	0.662937	0.625808	0.612170	0.657199	0.882941	0.904299	0.913971	0.707351	0.681190	0.669944	0.683755	0.673814	0.640523	0.647257	0.640419	0.629996	0.811996	0.757178	0.711877	0.684666	0.615772	0.621232	0.940379	0.683332	0.610424
