annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K06977	120.740111	145.050146	119.698047	122.810559	100.148676	145.723704	106.254007	130.012621	118.969324	144.260599	78.027482	90.559350	186.274071	7.494744	166.121968	126.671399	133.146604	9.635605	7.497165	6.392584	25.129877	7.668810	2.837824	200.528421	247.771285	224.362754	62.183475	53.090014	59.676591	9.276950	6.362682	2.208917	12.333033	232.192601	194.301601	216.898941	247.103655	58.979371	42.149710	45.332386	73.678941	5.745016	9.753534	237.906238	257.165009	20.682917	20.839273	9.452262	221.533054	54.119920
K06978	430.797675	466.456424	483.156877	472.216582	447.209610	494.679922	521.633619	470.623278	549.055192	535.165404	264.344120	326.571493	461.560712	65.658413	555.072371	688.920321	356.081034	113.502689	110.691083	69.516681	113.531225	85.475756	52.356370	557.460359	550.941489	544.972854	338.320591	242.578483	273.790471	94.189814	86.250642	83.280666	120.438059	451.460603	475.290029	479.208063	493.857047	253.857389	237.657689	222.418158	293.185644	67.178354	73.178969	360.719359	359.924762	112.716449	141.033271	96.634760	480.673868	248.081928
K06979	0.944665	0.949813	1.005925	0.975809	0.798144	0.461622	0.446128	0.576676	0.404474	0.292380	0.481138	0.580847	0.000000	0.547125	0.742436	0.956997	0.328335	0.981231	0.000000	0.000000	2.120467	1.642380	0.000000	0.220756	0.803582	0.820315	4.049333	2.190562	2.167293	0.677664	0.601788	0.000000	0.811594	2.612507	2.776469	0.667888	1.439775	0.481804	0.675983	1.125736	2.194884	0.000000	0.245613	0.228393	2.013442	0.835460	0.828554	0.789498	1.255948	1.011773
K06980	1152.513404	1349.748677	1126.714807	1134.026818	926.938456	1336.149593	1049.530700	1212.889695	1024.045597	1087.062959	662.470536	812.540058	1477.607508	90.102435	1632.086112	1237.829787	1033.276671	152.754678	138.513754	86.564602	249.085313	131.421753	82.244154	1411.594653	1624.294306	1695.898939	635.502663	529.431167	594.113768	164.900434	142.696715	110.474382	277.971546	1739.133641	1546.056718	1812.652697	1827.079816	601.179667	524.756330	443.569782	800.598681	126.064905	105.099823	1697.209657	1809.742557	277.228747	369.763663	151.737806	1565.391808	569.574261
K06981	32.256112	31.619526	28.608163	28.706582	16.727146	30.314537	31.218018	32.967187	23.633988	27.027966	20.720953	16.440747	42.932333	4.335662	25.965388	24.772666	29.932450	14.144748	23.432682	11.645581	14.740930	9.679754	5.217913	33.362283	36.071701	38.923824	13.387752	17.789625	16.107414	8.510584	10.027658	11.036907	13.701110	29.557955	24.870440	23.411260	30.196562	14.449243	15.699718	16.085250	17.420437	14.568828	14.985366	6.487687	6.808844	10.421222	8.339804	8.805037	25.721766	16.631867
K06982	17.883970	22.039138	16.263892	16.211208	15.855822	18.198896	10.938559	18.010559	12.075168	14.387056	8.677309	7.907677	23.871376	4.054165	9.941124	7.847479	13.735228	2.796773	2.113135	3.152120	7.192710	1.773790	2.541994	21.009226	21.424801	18.237922	6.597797	5.155346	6.880388	2.332298	2.446863	3.479996	4.074868	18.435038	14.777594	16.886672	15.470382	7.052433	2.838162	6.614864	7.209088	0.459869	1.426257	2.939604	4.041098	0.849538	2.804296	2.737502	11.576143	4.954220
K06983	5.652663	5.957592	7.467028	3.926316	4.580325	3.137417	5.383595	4.744115	1.549231	2.611061	7.355736	5.592753	7.953658	1.391064	2.843485	4.186182	5.979013	12.170755	14.794537	4.970069	2.190949	3.198931	0.886337	3.746492	2.523480	2.718200	5.734191	10.212121	2.763905	1.193915	1.884149	0.843519	4.944341	1.401781	2.089162	1.014190	1.172130	7.930937	7.467890	8.971158	5.809669	0.835354	0.255152	1.119726	3.202466	4.698139	6.268618	1.898461	2.044789	6.572526
K06984	0.695299	0.442366	1.602260	1.766739	0.280554	1.200940	0.417190	0.499631	1.289938	1.247834	1.230463	0.971360	2.574901	0.000000	0.810169	0.701013	0.692499	0.000000	0.000000	0.000000	0.169180	0.000000	0.000000	1.483750	2.714252	0.629093	0.423667	0.301761	1.254953	0.263414	0.115457	0.000000	0.465687	2.879271	2.042127	3.092664	1.636142	0.608473	0.820811	0.000000	0.111724	0.236676	0.534407	0.970185	1.223956	0.299884	0.282763	0.420955	1.420140	0.353260
K06985	64.397026	89.888787	78.179190	75.907556	69.506663	74.917117	71.690197	67.723721	64.032490	75.968615	39.902082	43.050797	61.561396	5.406470	83.400120	87.627794	48.856985	21.562171	17.285864	20.679252	16.657954	12.677374	4.995589	74.077866	78.572398	78.420210	42.132517	37.970521	34.651638	16.210398	17.625551	11.393416	14.202405	68.558339	69.295385	71.023970	67.720028	40.256463	35.643412	35.757747	40.331453	6.671763	9.283744	67.031546	57.692186	18.419341	22.680687	12.282601	73.204953	39.013068
K06986	2.038460	33.360691	1.780483	1.965800	2.465882	2.681780	0.954308	2.183176	0.890907	2.978811	0.250429	0.706446	2.778560	0.822048	3.804904	2.011155	0.873033	0.691182	1.158186	0.687507	1.638237	0.564384	1.188775	1.649256	0.508549	1.183138	1.955563	1.836269	1.838257	0.556084	0.940267	1.277664	2.190263	2.226393	2.465713	1.427631	1.765980	1.022701	0.558696	2.463421	1.436244	0.225616	0.270935	0.927178	1.933366	0.689338	0.139058	0.333107	2.445528	1.481346
