annot	ERR2098365	ERR2098366	ERR2098367	ERR2098368	ERR2098369	ERR2098370	ERR2098371	ERR2098372	ERR2098373	ERR2098374	ERR2098375	ERR2098376	ERR2098377	ERR2098378	ERR2098379	ERR2098380	ERR2098381	ERR2098382	ERR2098383	ERR2098384	ERR2098385	ERR2098386	ERR2098387	ERR2098388	ERR2098389	ERR2098390	ERR2098391	ERR2098392	ERR2098393	ERR2098394	ERR2098395	ERR2098396	ERR2098397	ERR2098398	ERR2098399	ERR2098400	ERR2098401	ERR2098402	ERR2098403	ERR2098404	ERR2098405	ERR2098406	ERR2098407	ERR2098408	ERR2098409	ERR2098410	ERR2098411	ERR2196983	ERR2196984	ERR2196985
K12950	0.000082	0.000078	0.000088	0.000000	0.000534	0.000000	0.000118	0.000151	0.000000	0.000000	0.000692	0.000348	0.000045	0.000000	0.000058	0.000000	0.000000	0.000000	0.002960	0.000505	0.000586	0.000000	0.000000	0.000000	0.000000	0.000064	0.000230	0.000810	0.000496	0.000783	0.000000	0.000000	0.000278	0.000096	0.000000	0.000000	0.000055	0.000265	0.000000	0.000851	0.000110	0.000416	0.000000	0.000000	0.000000	0.000571	0.000658	0.000000	0.000072	0.000623
K12951	0.000200	0.000193	0.000044	0.000347	0.000048	0.000060	0.000408	0.000000	0.000132	0.000654	0.000326	0.000165	0.000381	0.000716	0.000025	0.000052	0.000280	0.001528	0.004942	0.001061	0.000303	0.000602	0.000000	0.000196	0.000023	0.000231	0.000443	0.000000	0.000439	0.000392	0.000000	0.000827	0.000463	0.000024	0.000000	0.000000	0.000000	0.000388	0.000130	0.000197	0.000055	0.000208	0.000000	0.000000	0.000064	0.000800	0.000805	0.000461	0.000079	0.000254
K12952	0.004656	0.004308	0.004580	0.004206	0.005126	0.004992	0.005261	0.004638	0.004146	0.005892	0.006395	0.003878	0.003582	0.011055	0.004756	0.002828	0.003770	0.015555	0.014503	0.009432	0.009297	0.011707	0.012161	0.002896	0.003106	0.001848	0.007797	0.005802	0.004056	0.006548	0.011581	0.011953	0.008016	0.003176	0.003564	0.002959	0.002867	0.004398	0.009339	0.003964	0.005021	0.016389	0.011527	0.001430	0.001341	0.008536	0.004700	0.009152	0.003050	0.006807
K12953	0.001218	0.000139	0.001175	0.000959	0.001494	0.000378	0.000839	0.000475	0.000935	0.000486	0.001794	0.001457	0.000245	0.015447	0.000482	0.000372	0.001591	0.005286	0.012888	0.009003	0.006445	0.007718	0.011286	0.000279	0.000351	0.000183	0.001823	0.000927	0.002117	0.008148	0.008029	0.018363	0.005578	0.000705	0.000076	0.000345	0.000128	0.001503	0.001428	0.002742	0.001096	0.003695	0.005884	0.000136	0.000168	0.005971	0.002421	0.005283	0.000189	0.002354
K12954	0.000536	0.001060	0.001211	0.000382	0.000891	0.000246	0.000335	0.000357	0.000769	0.001058	0.001548	0.001052	0.000800	0.001080	0.000192	0.000493	0.001270	0.002241	0.012168	0.005389	0.001017	0.001146	0.002320	0.000429	0.000578	0.000283	0.001370	0.002066	0.001092	0.001471	0.001430	0.000000	0.002479	0.000139	0.000188	0.000152	0.000139	0.000422	0.002097	0.004687	0.001119	0.001176	0.000221	0.000203	0.000225	0.002885	0.002945	0.001717	0.000251	0.001751
K12955	0.006612	0.006283	0.009499	0.007653	0.011090	0.004791	0.007343	0.005098	0.005740	0.006140	0.015826	0.010421	0.004960	0.092216	0.002462	0.004189	0.012292	0.054691	0.059781	0.063003	0.040912	0.059203	0.136943	0.002747	0.001295	0.002104	0.011793	0.015261	0.017617	0.051088	0.065385	0.069603	0.047442	0.001290	0.001684	0.001648	0.001145	0.017769	0.019294	0.022006	0.010980	0.085044	0.087854	0.003596	0.002100	0.026049	0.025980	0.059037	0.003015	0.017749
K12956	0.000361	0.000519	0.000431	0.000335	0.000398	0.000544	0.000126	0.000345	0.000608	0.000522	0.000377	0.000284	0.000182	0.000000	0.000000	0.001036	0.000479	0.002022	0.001184	0.003271	0.000749	0.000000	0.000427	0.000318	0.000101	0.000047	0.000861	0.000514	0.000606	0.000000	0.000299	0.000000	0.000000	0.000179	0.000046	0.000000	0.000045	0.000164	0.000282	0.000598	0.000420	0.000388	0.000000	0.000469	0.000197	0.001530	0.000800	0.001424	0.000189	0.001076
K12957	0.031961	0.033041	0.047793	0.042904	0.048923	0.037727	0.041289	0.034712	0.047932	0.053326	0.043889	0.040246	0.032541	0.015181	0.036603	0.057142	0.040919	0.047877	0.030933	0.041619	0.027903	0.026178	0.018739	0.040573	0.038515	0.034941	0.059183	0.037630	0.045135	0.021033	0.019461	0.017197	0.033428	0.030504	0.038408	0.031260	0.032063	0.042568	0.041558	0.041216	0.028875	0.009439	0.011874	0.024874	0.024950	0.032741	0.035496	0.026324	0.033099	0.037188
K12960	0.097793	0.091081	0.123008	0.114796	0.118497	0.114140	0.122566	0.121324	0.134081	0.145882	0.109003	0.109966	0.083592	0.050482	0.104495	0.125269	0.096147	0.059169	0.060808	0.060201	0.098091	0.064615	0.028929	0.113045	0.113283	0.113815	0.096340	0.118228	0.099014	0.084825	0.057660	0.055604	0.107719	0.112187	0.106707	0.108703	0.102050	0.105913	0.116315	0.109114	0.099469	0.037063	0.028058	0.118347	0.117525	0.090668	0.084540	0.066354	0.117435	0.103028
K12961	0.000768	0.000911	0.001369	0.000689	0.000796	0.001084	0.000727	0.001022	0.000700	0.000867	0.001738	0.000972	0.001049	0.001275	0.001179	0.001060	0.000524	0.002934	0.001742	0.002244	0.001198	0.004210	0.001046	0.001050	0.000980	0.001034	0.001318	0.000985	0.000970	0.001936	0.002585	0.001049	0.001568	0.001260	0.000915	0.001162	0.001240	0.000659	0.000857	0.001677	0.000579	0.002506	0.001838	0.000778	0.000349	0.001531	0.001180	0.001753	0.000806	0.000905
